fly_id,Genotype,Sex,Treatment,Mesor_mean_Z,Mesor_sd_Z,Amp_mean_Z,Amp_sd_Z,Phase_mean_Z,Phase_sd_Z,total_sleep_mean_Z,day_sleep_mean_Z,night_sleep_mean_Z,total_bouts_mean_Z,day_bouts_mean_Z,night_bouts_mean_Z,mean_bout_mean_Z,max_bout_mean_Z,mean_day_bout_mean_Z,max_day_bout_mean_Z,mean_night_bout_mean_Z,max_night_bout_mean_Z,frag_bouts_per_hour_mean_Z,frag_bouts_per_min_sleep_mean_Z,mean_wake_bout_mean_Z,P_wake_mean_Z,P_doze_mean_Z,sleep_latency_mean_Z,WASO_mean_Z
5-11,Iso,Female,8mM His,-0.49254969116352754,-0.7289865779826863,-0.7826482211845345,-0.5931093512314808,-1.8980403996695665,-0.3827741227650085,-0.8455432553587564,-0.5884247639042938,-0.8217551753521793,-1.2464566412902187,-0.7367929979595959,-1.2536298358801745,-0.594458015752209,-0.6333100521974986,0.07978539949900543,-0.2016485246133562,-0.5941565955755999,-0.6186579634548653,-1.2534965797792637,0.9082503552535496,2.1281637611203545,0.9154152402727649,-1.1695836307612495,-0.8878770863930712,1.9847056685414624
5-12,Iso,Female,VEH,-0.570065704712116,-0.5886492392450542,-0.7839783466715127,-0.6249330003680933,0.18883656118175104,0.8821320551524393,-0.7884184963227246,-0.5641631601149469,-0.7642711148183872,-1.0058279460604467,-0.6198417284421996,-1.0039027769399007,-0.5008319693172409,-0.5976057201802473,-0.2910231533303366,-0.3049697157047428,-0.4955545116002152,-0.5828660955093428,-1.020503929866839,0.38388374856466734,1.0090793828415243,0.39606806803022154,-1.001444111654115,2.173968564314453,-0.6377115219168489
5-13,SSS,Female,2mM His,-0.7127252497508244,-0.7074753601292068,-0.15648855325745284,-0.6489623597533664,0.7126988412847696,-1.1929680799333875,1.6679461422266453,0.05046413588184155,1.76194804542559,0.5883371598367926,-0.26898791989001114,0.7798619297763406,1.7657373251008797,1.4018368727858306,-0.03609227326016396,-0.22747882238620284,1.7266885778089571,1.4214785094399247,0.6038056858599856,-1.610056960954442,-0.8840307417532813,-1.606117681003489,0.8010874838560692,-0.9303535578479731,-1.3710600459742175
5-14,SSS,Female,8mM His,-0.8445375860184839,-0.633827394084087,-0.2424617172150065,-0.5602944815070791,0.8079891653969827,-1.193389959876943,2.191751136099412,1.117974702613106,2.1817869875384654,0.3477084646070204,1.368329853353535,-0.004994541178805559,2.2410140025343717,2.5104563819214865,0.2824940750457125,0.066986572224249,3.096944943090355,2.5328160091484024,0.3419797109272001,-1.7774628541966797,-0.8906808663123024,-1.7752203340273383,0.7415854849678791,-0.9788980966535755,-1.84828512118071
5-15,SSS,Female,VEH,-0.6550377589443199,-0.6022656852641731,-0.05905563432566797,-0.3999751692424685,0.7372034919815441,-1.1800341908604912,1.7541173889081167,0.22838256367038567,1.8307236178499484,0.1973155300884129,-0.5028904589248034,0.3874336942987674,2.515175073174531,2.181083919062342,2.181033865531943,0.38383822490450115,2.0235609495389233,2.2026360273509558,0.19635930473193464,-1.754757383591874,-0.7918193840456864,-1.7577954695257114,0.35687782027966936,-0.9788980966535755,-1.4153647611790643
5-16,Rye,Female,2mM His,-0.08018967788307632,0.16336865935933148,-0.6990017611512872,-0.23941532268060406,-0.5339792814425711,1.4294336375223504,-0.7245162235027567,-0.29728551843213086,-0.7303965791466882,-0.7952778377343963,-0.03508538085521888,-0.932552188671251,-0.46572220190412783,-0.5596698674119176,0.33008117265881126,0.05665445311511038,-0.3552361613275524,-0.5448372358172249,-0.7935687011771788,0.5413309524618062,0.3493201456146471,0.5520081280538949,-0.8345857403032141,0.4926082358912461,0.4166352125413498
5-17,Rye,Female,8mM His,-0.35373973044326906,-0.0359595539296759,-0.5816977608390279,-0.43420879950734165,0.3255515332872051,0.7186945858662652,-0.5231272424943733,-0.6045991664305251,-0.47787731323038646,0.046922595569805436,-0.7367929979595959,0.280407811895793,-0.5735033166638208,-0.5824313790729154,-0.2910231533303366,-0.3049697157047428,-0.5425978778807273,-0.5481927234371177,0.0738055585529574,0.8820445869737362,-0.15376948372066304,0.8894603234665552,-0.1577513137185573,0.8017004165675424,-0.2305300917008763
5-19,Fmn,Female,2mM His,-0.8936953891802755,-0.6658514190680986,-0.7297083357521453,-0.6146234018468352,0.2432367270052782,1.1259287716815713,0.0694211054726013,0.689353035667977,-0.013898824636206187,2.272738026445196,1.4852811228709313,2.2425489892836583,-0.5043032664483964,-0.424439709896578,0.19597207938553265,0.09798292955166507,-0.5106925846629609,-0.43880382702861415,2.2981875502917535,0.34167477457694506,-0.9595267978879538,0.28924601829807,1.765692106631424,-0.8150602781846676,0.7226542097062558
5-20,Fmn,Female,8mM His,-0.608746686888754,-0.4408429684487505,-0.8124033346718352,-0.68601279713452,-2.265145314180631,0.6991529676997389,-0.7981006588712046,-0.19215190201162757,-0.8217551753521793,-1.0058279460604467,0.19881715817957352,-1.2536298358801745,-0.6108425738783283,-0.6299627710708813,-0.04896757023340488,-0.14998792906766287,-0.5941565955755999,-0.6320799139344363,-1.0032039348546224,1.0949386720323357,0.6381678600484135,1.1003165062439384,-0.9905681753299101,-0.3986391562428598,1.6144448343295286
5-21,Fmn,Female,VEH,-0.6258581706912705,-0.31751210696770704,-0.7440153189512089,-0.6803617787626491,0.7870795819449052,-0.7788210385611397,-0.5270001075137652,0.042376934618725944,-0.5641034040310748,-0.04331316514135899,0.31576842769696967,-0.14769571771610499,-0.5762816488063859,-0.5984983284806785,0.357891814121012,0.31495743084357697,-0.561701739595038,-0.5837608922079808,-0.04240001018456243,0.8361845699707966,-0.06422544154587215,0.8440392958006899,-0.1767963747347356,-0.10509639815273297,0.8087319421042436
