fly_id,Genotype,Sex,Treatment,Mesor_mean,Mesor_sd,Amp_mean,Amp_sd,Phase_mean,Phase_sd,rhythmic_days,total_sleep_mean,day_sleep_mean,night_sleep_mean,total_bouts_mean,day_bouts_mean,night_bouts_mean,mean_bout_mean,max_bout_mean,mean_day_bout_mean,max_day_bout_mean,mean_night_bout_mean,max_night_bout_mean,frag_bouts_per_hour_mean,frag_bouts_per_min_sleep_mean,mean_wake_bout_mean,P_wake_mean,P_doze_mean,sleep_latency_mean,WASO_mean,n_days
6-2,SSS,Female,8mM His,537.0525897617221,104.01432375885082,466.04922668134867,55.74662135573791,19.554566944321362,0.5518598238108747,5,498.8,44.0,454.8,22.0,3.8,18.2,24.031406926406927,90.0,9.825,17.8,28.414835164835164,90.0,0.9348169717138102,0.04546277942917087,47.54626928471248,0.043769603137836094,0.023699644564610316,0.4,222.8,5
6-3,SSS,Female,VEH,2236.4808999260244,1776.0301007785704,1834.4397067289538,2381.60475501926,20.108212043707784,0.709454431849369,3,305.2,14.2,291.0,18.0,1.2,16.8,17.678725222146277,95.4,9.333333333333334,13.0,18.468731856378916,95.4,0.7731003882418191,0.06018701493966137,69.80279220779221,0.05772012822847407,0.016927015738267097,13.6,373.4,5
6-4,Rye,Female,2mM His,1987.3862576397692,563.4701965941223,375.767502304274,135.30066685441344,15.831507170678156,8.722920275321881,4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,1392.4,,0.0,,,5
6-6,Rye,Female,VEH,2131.0713391916397,563.4026043260935,470.4800568873558,189.20747915254194,17.00781621455412,9.523967834908978,4,51.6,0.0,51.6,4.0,0.0,4.0,13.35,22.6,,,13.35,22.6,0.17986688851913477,0.09032307766382588,347.72555555555556,0.09032307766382588,0.0031468030373174504,258.6,367.8,5
6-7,Fmn,Female,2mM His,1756.8789296836105,1104.7273715042718,825.5405461941918,401.76209383770725,16.064712153574558,9.775722815495543,4,190.4,34.4,156.0,21.0,5.2,15.8,8.995232646834477,19.4,7.096666666666667,10.4,9.588515406162466,19.4,0.8981003882418193,0.11205318294800808,57.549666996645215,0.11205318294800808,0.017313971873911576,13.6,508.4,5
6-8,Fmn,Female,8mM His,785.5032192061875,86.36514164193447,621.8950599199571,140.89332208107112,20.01425073029867,1.0512901749596417,5,380.6,30.2,350.4,33.2,3.6,29.6,11.666904761904762,38.0,8.125,11.0,12.045966097855633,38.0,1.4229339988907377,0.08713978660782949,33.67632492997198,0.08537799275980718,0.0335060736507372,4.8,322.8,5
6-9,Fmn,Female,VEH,5375.624082528694,3364.472613283616,2703.2615694785127,665.6836916851146,16.335264671120676,8.780799581449136,5,104.2,1.0,103.2,12.4,0.2,12.2,8.072142857142858,18.0,5.0,5.0,8.107307692307693,18.0,0.5298668885191348,0.13208831209571845,101.94906637222428,0.13208831209571845,0.009613428523707904,68.6,506.2,5
6-10,Iso,Female,2mM His,1294.509271320375,98.2908288729209,266.1403074172358,109.18556989580144,5.086859456101902,3.1674428531985774,4,2.4,0.0,2.4,0.4,0.0,0.4,6.0,7.0,,,6.0,7.0,0.019966722129783693,0.16666666666666666,1231.3333333333335,0.16666666666666666,0.0003361344537815126,272.0,226.0,5
6-11,Iso,Female,8mM His,2742.6193360532734,1918.1317424168642,844.197482715138,586.1135227272661,9.726602874382959,7.7567576506963585,4,8.8,4.8,4.0,1.4,0.8,0.6,6.333333333333334,7.5,6.0,8.0,6.666666666666667,7.0,0.05833333333333333,0.15833333333333333,944.04,0.15833333333333333,0.000987506962680035,38.0,662.0,5
6-12,Iso,Female,VEH,1574.058196058902,117.2039532241822,171.75989398335147,59.88459318155639,12.694466223663461,11.279381850002645,1,1.0,0.0,1.0,0.2,0.0,0.2,5.0,5.0,,,5.0,5.0,0.008333333333333333,0.2,1247.9,0.2,0.00013937282229965157,19.0,696.0,5
6-13,SSS,Female,2mM His,4772.722255147788,2284.6042061616486,3574.5232527738044,2328.4612165054837,17.31830974755786,1.937350325816046,4,212.4,0.8,211.6,17.6,0.0,17.6,11.398188405797102,35.2,,,11.398188405797102,35.2,0.7597337770382696,0.09236009544088539,76.16953357100417,0.09155364382798217,0.015030432285205763,37.2,429.2,5
